entry,at,order
"Uncalled bet of 400 returned to ""McNeal @ 2VIQ_H6NmI""",2022-12-01T04:19:44.927Z,166986838492700
"""Rod @ juakLvqGHM"" folds",2022-12-01T04:19:44.065Z,166986838406500
"""McNeal @ 2VIQ_H6NmI"" bets 400",2022-12-01T04:19:33.191Z,166986837319100
"""Rod @ juakLvqGHM"" checks",2022-12-01T04:19:30.436Z,166986837043600
"Flop:  [8♠, 8♣, 7♣]",2022-12-01T04:19:26.407Z,166986836640700
"""Rod @ juakLvqGHM"" calls 1200",2022-12-01T04:19:25.546Z,166986836554600
"""McNeal @ 2VIQ_H6NmI"" raises to 1200",2022-12-01T04:19:15.485Z,166986835548500
"""Rod @ juakLvqGHM"" calls 400",2022-12-01T04:19:12.364Z,166986835236400
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:19:10.523Z,166986835052300
"""McNeal @ 2VIQ_H6NmI"" posts a big blind of 400",2022-12-01T04:19:08.719Z,166986834871906
"""Rod @ juakLvqGHM"" posts a small blind of 200",2022-12-01T04:19:08.719Z,166986834871905
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (4632) | #6 ""CStam @ O7yGfPfnlh"" (300) | #9 ""Rod @ juakLvqGHM"" (2068)",2022-12-01T04:19:08.719Z,166986834871901
"-- starting hand #147 (id: pwgtzweqz2gb)  (Pot Limit Omaha Hi) (dealer: ""CStam @ O7yGfPfnlh"") --",2022-12-01T04:19:08.719Z,166986834871900
"-- ending hand #146 --",2022-12-01T04:18:59.713Z,166986833971301
"""Rod @ juakLvqGHM"" collected 2068 from pot with Four of a Kind (combination: 4♥, 4♠, 4♦, 4♣, 8♣)",2022-12-01T04:18:59.713Z,166986833971300
"River: 6♦, 4♠, 5♣, 4♦ [4♣]",2022-12-01T04:18:55.677Z,166986833567700
"Turn: 6♦, 4♠, 5♣ [4♦]",2022-12-01T04:18:51.591Z,166986833159100
"""Rod @ juakLvqGHM"" shows a 4♥, 3♠, 5♦, 8♣.",2022-12-01T04:18:47.580Z,166986832758001
"""McNeal @ 2VIQ_H6NmI"" shows a J♦, K♥, 9♣, J♥.",2022-12-01T04:18:47.580Z,166986832758000
"""McNeal @ 2VIQ_H6NmI"" calls 534",2022-12-01T04:18:46.730Z,166986832673000
"""Rod @ juakLvqGHM"" bets 534 and go all in",2022-12-01T04:18:45.783Z,166986832578300
"Flop:  [6♦, 4♠, 5♣]",2022-12-01T04:18:37.178Z,166986831717800
"""Rod @ juakLvqGHM"" checks",2022-12-01T04:18:36.343Z,166986831634300
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:18:28.129Z,166986830812900
"""McNeal @ 2VIQ_H6NmI"" calls 400",2022-12-01T04:18:11.287Z,166986829128700
"""Rod @ juakLvqGHM"" posts a big blind of 400",2022-12-01T04:17:55.805Z,166986827580508
"""CStam @ O7yGfPfnlh"" posts a small blind of 200",2022-12-01T04:17:55.805Z,166986827580507
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (5566) | #6 ""CStam @ O7yGfPfnlh"" (500) | #9 ""Rod @ juakLvqGHM"" (934)",2022-12-01T04:17:55.805Z,166986827580503
"-- starting hand #146 (id: h2sbccqo5dhl)  (Pot Limit Omaha Hi) (dead button) --",2022-12-01T04:17:55.805Z,166986827580502
"The game's big blind was changed from 200 to 400.",2022-12-01T04:17:55.805Z,166986827580501
"The game's small blind was changed from 100 to 200.",2022-12-01T04:17:55.805Z,166986827580500
"-- ending hand #145 --",2022-12-01T04:17:46.736Z,166986826673602
"""McNeal @ 2VIQ_H6NmI"" collected 3802 from pot with Straight (combination: A♣, K♠, Q♦, J♦, 10♥)",2022-12-01T04:17:46.736Z,166986826673601
"""McNeal @ 2VIQ_H6NmI"" shows a J♦, 8♣, Q♦, 10♣.",2022-12-01T04:17:46.736Z,166986826673600
"""Rod @ juakLvqGHM"" calls 1201",2022-12-01T04:17:45.908Z,166986826590800
"""McNeal @ 2VIQ_H6NmI"" raises to 1201",2022-12-01T04:17:32.305Z,166986825230500
"""Rod @ juakLvqGHM"" bets 600",2022-12-01T04:17:23.279Z,166986824327900
"River: A♣, 5♦, K♠, 10♥ [2♣]",2022-12-01T04:17:09.817Z,166986822981700
"""McNeal @ 2VIQ_H6NmI"" checks",2022-12-01T04:17:08.992Z,166986822899200
"""Rod @ juakLvqGHM"" checks",2022-12-01T04:17:02.721Z,166986822272100
"Turn: A♣, 5♦, K♠ [10♥]",2022-12-01T04:16:59.408Z,166986821940800
"""McNeal @ 2VIQ_H6NmI"" checks",2022-12-01T04:16:58.584Z,166986821858400
"""Rod @ juakLvqGHM"" checks",2022-12-01T04:16:53.793Z,166986821379300
"Flop:  [A♣, 5♦, K♠]",2022-12-01T04:16:41.535Z,166986820153500
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:16:40.669Z,166986820066900
"""McNeal @ 2VIQ_H6NmI"" calls 600",2022-12-01T04:16:26.150Z,166986818615000
"""Rod @ juakLvqGHM"" raises to 600",2022-12-01T04:16:20.874Z,166986818087400
"""CStam @ O7yGfPfnlh"" posts a big blind of 200",2022-12-01T04:16:14.031Z,166986817403107
"Dead Small Blind",2022-12-01T04:16:14.031Z,166986817403106
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (3565) | #6 ""CStam @ O7yGfPfnlh"" (700) | #9 ""Rod @ juakLvqGHM"" (2735)",2022-12-01T04:16:14.031Z,166986817403102
"-- starting hand #145 (id: ftyv5ebtbgqo)  (Pot Limit Omaha Hi) (dealer: ""McNeal @ 2VIQ_H6NmI"") --",2022-12-01T04:16:14.031Z,166986817403101
"The player ""Ruthie @ BQ7aBApX8b"" quits the game with a stack of 0.",2022-12-01T04:16:14.031Z,166986817403100
"-- ending hand #144 --",2022-12-01T04:16:05.020Z,166986816502001
"""McNeal @ 2VIQ_H6NmI"" collected 2070 from pot with Two Pair (combination: A♣, A♠, 4♣, 4♠, J♥)",2022-12-01T04:16:05.020Z,166986816502000
"River: 4♣, 4♠, 7♥, 2♣ [A♠]",2022-12-01T04:16:01.018Z,166986816101800
"Turn: 4♣, 4♠, 7♥ [2♣]",2022-12-01T04:15:56.951Z,166986815695100
"Flop:  [4♣, 4♠, 7♥]",2022-12-01T04:15:52.891Z,166986815289100
"""Ruthie @ BQ7aBApX8b"" shows a 3♣, Q♥, 7♦, Q♠.",2022-12-01T04:15:48.883Z,166986814888301
"""McNeal @ 2VIQ_H6NmI"" shows a J♥, A♣, 6♦, J♠.",2022-12-01T04:15:48.883Z,166986814888300
"""McNeal @ 2VIQ_H6NmI"" calls 935",2022-12-01T04:15:48.030Z,166986814803000
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:15:45.269Z,166986814526900
"""Ruthie @ BQ7aBApX8b"" raises to 935 and go all in",2022-12-01T04:15:38.585Z,166986813858500
"""McNeal @ 2VIQ_H6NmI"" raises to 800",2022-12-01T04:15:24.367Z,166986812436700
"""Rod @ juakLvqGHM"" folds",2022-12-01T04:15:19.778Z,166986811977800
"""CStam @ O7yGfPfnlh"" calls 200",2022-12-01T04:15:16.705Z,166986811670500
"""Ruthie @ BQ7aBApX8b"" posts a big blind of 200",2022-12-01T04:15:14.253Z,166986811425307
"""McNeal @ 2VIQ_H6NmI"" posts a small blind of 100",2022-12-01T04:15:14.253Z,166986811425306
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (2430) | #3 ""Ruthie @ BQ7aBApX8b"" (935) | #6 ""CStam @ O7yGfPfnlh"" (900) | #9 ""Rod @ juakLvqGHM"" (2735)",2022-12-01T04:15:14.253Z,166986811425301
"-- starting hand #144 (id: pho0ffzjtgfh)  (Pot Limit Omaha Hi) (dealer: ""Rod @ juakLvqGHM"") --",2022-12-01T04:15:14.253Z,166986811425300
"-- ending hand #143 --",2022-12-01T04:15:08.252Z,166986810825202
"""Ruthie @ BQ7aBApX8b"" collected 500 from pot",2022-12-01T04:15:08.252Z,166986810825201
"Uncalled bet of 435 returned to ""Ruthie @ BQ7aBApX8b""",2022-12-01T04:15:08.252Z,166986810825200
"""McNeal @ 2VIQ_H6NmI"" folds",2022-12-01T04:15:07.329Z,166986810732900
"""Rod @ juakLvqGHM"" folds",2022-12-01T04:15:04.766Z,166986810476600
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:15:02.144Z,166986810214400
"""Ruthie @ BQ7aBApX8b"" raises to 635 and go all in",2022-12-01T04:14:54.724Z,166986809472400
"""McNeal @ 2VIQ_H6NmI"" posts a big blind of 200",2022-12-01T04:14:46.822Z,166986808682207
"""Rod @ juakLvqGHM"" posts a small blind of 100",2022-12-01T04:14:46.822Z,166986808682206
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (2630) | #3 ""Ruthie @ BQ7aBApX8b"" (635) | #6 ""CStam @ O7yGfPfnlh"" (900) | #9 ""Rod @ juakLvqGHM"" (2835)",2022-12-01T04:14:46.822Z,166986808682201
"-- starting hand #143 (id: vudh2pbotv66)  (Pot Limit Omaha Hi) (dealer: ""CStam @ O7yGfPfnlh"") --",2022-12-01T04:14:46.822Z,166986808682200
"-- ending hand #142 --",2022-12-01T04:14:40.813Z,166986808081302
"""Rod @ juakLvqGHM"" collected 1500 from pot",2022-12-01T04:14:40.813Z,166986808081301
"Uncalled bet of 600 returned to ""Rod @ juakLvqGHM""",2022-12-01T04:14:40.813Z,166986808081300
"""Ruthie @ BQ7aBApX8b"" folds",2022-12-01T04:14:39.926Z,166986807992600
"""Rod @ juakLvqGHM"" bets 600",2022-12-01T04:14:28.027Z,166986806802700
"Turn: 5♥, 3♣, 6♠ [6♥]",2022-12-01T04:14:20.192Z,166986806019200
"""Ruthie @ BQ7aBApX8b"" checks",2022-12-01T04:14:19.291Z,166986805929100
"""Rod @ juakLvqGHM"" checks",2022-12-01T04:14:12.312Z,166986805231200
"Flop:  [5♥, 3♣, 6♠]",2022-12-01T04:13:47.552Z,166986802755200
"""Rod @ juakLvqGHM"" calls 700",2022-12-01T04:13:46.672Z,166986802667200
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:13:41.071Z,166986802107100
"""Ruthie @ BQ7aBApX8b"" raises to 700",2022-12-01T04:13:37.781Z,166986801778100
"""McNeal @ 2VIQ_H6NmI"" folds",2022-12-01T04:13:25.036Z,166986800503600
"""Rod @ juakLvqGHM"" posts a big blind of 200",2022-12-01T04:13:22.196Z,166986800219607
"""CStam @ O7yGfPfnlh"" posts a small blind of 100",2022-12-01T04:13:22.196Z,166986800219606
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (2630) | #3 ""Ruthie @ BQ7aBApX8b"" (1335) | #6 ""CStam @ O7yGfPfnlh"" (1000) | #9 ""Rod @ juakLvqGHM"" (2035)",2022-12-01T04:13:22.196Z,166986800219601
"-- starting hand #142 (id: jyvyqsxexm04)  (Pot Limit Omaha Hi) (dealer: ""Ruthie @ BQ7aBApX8b"") --",2022-12-01T04:13:22.196Z,166986800219600
"-- ending hand #141 --",2022-12-01T04:13:13.185Z,166986799318502
"""Rod @ juakLvqGHM"" collected 1000 from pot with Straight (combination: K♥, Q♠, J♠, 10♦, 9♠)",2022-12-01T04:13:13.185Z,166986799318501
"""CStam @ O7yGfPfnlh"" collected 1000 from pot with Straight (combination: K♥, Q♦, J♦, 10♦, 9♠)",2022-12-01T04:13:13.185Z,166986799318500
"River: 2♦, 10♦, 9♠, 8♥ [K♥]",2022-12-01T04:13:09.156Z,166986798915600
"Turn: 2♦, 10♦, 9♠ [8♥]",2022-12-01T04:13:05.153Z,166986798515300
"""Rod @ juakLvqGHM"" shows a 2♣, 5♠, Q♠, J♠.",2022-12-01T04:13:01.148Z,166986798114801
"""CStam @ O7yGfPfnlh"" shows a J♦, K♦, Q♦, 4♣.",2022-12-01T04:13:01.148Z,166986798114800
"""Rod @ juakLvqGHM"" calls 550",2022-12-01T04:13:00.326Z,166986798032600
"""CStam @ O7yGfPfnlh"" bets 550 and go all in",2022-12-01T04:12:58.924Z,166986797892400
"Flop:  [2♦, 10♦, 9♠]",2022-12-01T04:12:49.300Z,166986796930000
"""CStam @ O7yGfPfnlh"" calls 400",2022-12-01T04:12:48.386Z,166986796838600
"""Ruthie @ BQ7aBApX8b"" folds",2022-12-01T04:12:41.582Z,166986796158200
"""McNeal @ 2VIQ_H6NmI"" folds",2022-12-01T04:12:34.942Z,166986795494200
"""Rod @ juakLvqGHM"" raises to 400",2022-12-01T04:12:34.070Z,166986795407000
"""CStam @ O7yGfPfnlh"" posts a big blind of 200",2022-12-01T04:12:21.951Z,166986794195107
"""Ruthie @ BQ7aBApX8b"" posts a small blind of 100",2022-12-01T04:12:21.951Z,166986794195106
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (2630) | #3 ""Ruthie @ BQ7aBApX8b"" (1435) | #6 ""CStam @ O7yGfPfnlh"" (950) | #9 ""Rod @ juakLvqGHM"" (1985)",2022-12-01T04:12:21.951Z,166986794195101
"-- starting hand #141 (id: qagkamwpjwuh)  (Pot Limit Omaha Hi) (dealer: ""McNeal @ 2VIQ_H6NmI"") --",2022-12-01T04:12:21.951Z,166986794195100
"-- ending hand #140 --",2022-12-01T04:12:16.040Z,166986793604002
"""Ruthie @ BQ7aBApX8b"" collected 200 from pot",2022-12-01T04:12:16.040Z,166986793604001
"Uncalled bet of 100 returned to ""Ruthie @ BQ7aBApX8b""",2022-12-01T04:12:16.040Z,166986793604000
"""McNeal @ 2VIQ_H6NmI"" folds",2022-12-01T04:12:15.227Z,166986793522700
"""Rod @ juakLvqGHM"" folds",2022-12-01T04:12:13.841Z,166986793384100
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:12:08.978Z,166986792897800
"""Ruthie @ BQ7aBApX8b"" posts a big blind of 200",2022-12-01T04:12:07.077Z,166986792707707
"""McNeal @ 2VIQ_H6NmI"" posts a small blind of 100",2022-12-01T04:12:07.077Z,166986792707706
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (2730) | #3 ""Ruthie @ BQ7aBApX8b"" (1335) | #6 ""CStam @ O7yGfPfnlh"" (950) | #9 ""Rod @ juakLvqGHM"" (1985)",2022-12-01T04:12:07.077Z,166986792707701
"-- starting hand #140 (id: bkihuwybg3ia)  (Pot Limit Omaha Hi) (dead button) --",2022-12-01T04:12:07.077Z,166986792707700
"""McNeal @ 2VIQ_H6NmI"" shows a K♥, K♣, 4♠, 9♣.",2022-12-01T04:12:01.181Z,166986792118100
"-- ending hand #139 --",2022-12-01T04:12:00.472Z,166986792047202
"""McNeal @ 2VIQ_H6NmI"" collected 1000 from pot",2022-12-01T04:12:00.472Z,166986792047201
"Uncalled bet of 1000 returned to ""McNeal @ 2VIQ_H6NmI""",2022-12-01T04:12:00.472Z,166986792047200
"""Rod @ juakLvqGHM"" folds",2022-12-01T04:11:59.641Z,166986791964100
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:11:44.992Z,166986790499200
"""McNeal @ 2VIQ_H6NmI"" raises to 1400",2022-12-01T04:11:42.557Z,166986790255700
"""Rod @ juakLvqGHM"" raises to 400",2022-12-01T04:11:33.117Z,166986789311700
"""CStam @ O7yGfPfnlh"" calls 200",2022-12-01T04:11:29.014Z,166986788901400
"""Ruthie @ BQ7aBApX8b"" folds",2022-12-01T04:11:22.348Z,166986788234800
"""McNeal @ 2VIQ_H6NmI"" posts a big blind of 200",2022-12-01T04:11:12.577Z,166986787257708
"Dead Small Blind",2022-12-01T04:11:12.577Z,166986787257707
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (2130) | #3 ""Ruthie @ BQ7aBApX8b"" (1335) | #6 ""CStam @ O7yGfPfnlh"" (1150) | #9 ""Rod @ juakLvqGHM"" (2385)",2022-12-01T04:11:12.577Z,166986787257702
"-- starting hand #139 (id: gdpl7xeszgfu)  (Pot Limit Omaha Hi) (dealer: ""Rod @ juakLvqGHM"") --",2022-12-01T04:11:12.577Z,166986787257701
"The player ""th3y3ti @ CLMXfwMI0O"" quits the game with a stack of 0.",2022-12-01T04:11:12.577Z,166986787257700
"""McNeal @ 2VIQ_H6NmI"" shows a 4♣, 5♦, 9♦, A♥.",2022-12-01T04:11:05.075Z,166986786507500
"-- ending hand #138 --",2022-12-01T04:11:03.418Z,166986786341801
"""Rod @ juakLvqGHM"" collected 1800 from pot with Full House (combination: 3♠, 3♥, 3♣, 6♣, 6♦)",2022-12-01T04:11:03.418Z,166986786341800
"River: 2♦, 6♦, 3♥, 8♥ [3♣]",2022-12-01T04:10:59.370Z,166986785937000
"Turn: 2♦, 6♦, 3♥ [8♥]",2022-12-01T04:10:55.361Z,166986785536100
"""th3y3ti @ CLMXfwMI0O"" shows a 2♠, 4♠, 10♦, 7♦.",2022-12-01T04:10:51.240Z,166986785124001
"""Rod @ juakLvqGHM"" shows a 10♣, Q♣, 3♠, 6♣.",2022-12-01T04:10:51.240Z,166986785124000
"""Rod @ juakLvqGHM"" calls 500",2022-12-01T04:10:50.405Z,166986785040500
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:10:47.977Z,166986784797700
"""Ruthie @ BQ7aBApX8b"" folds",2022-12-01T04:10:38.703Z,166986783870300
"""th3y3ti @ CLMXfwMI0O"" raises to 500 and go all in",2022-12-01T04:10:36.520Z,166986783652000
"""Rod @ juakLvqGHM"" bets 400",2022-12-01T04:10:25.632Z,166986782563200
"Flop:  [2♦, 6♦, 3♥]",2022-12-01T04:10:08.323Z,166986780832300
"""th3y3ti @ CLMXfwMI0O"" checks",2022-12-01T04:10:07.412Z,166986780741200
"""Rod @ juakLvqGHM"" calls 200",2022-12-01T04:10:05.763Z,166986780576300
"""CStam @ O7yGfPfnlh"" calls 200",2022-12-01T04:10:04.460Z,166986780446000
"""Ruthie @ BQ7aBApX8b"" calls 200",2022-12-01T04:10:02.356Z,166986780235600
"""McNeal @ 2VIQ_H6NmI"" folds",2022-12-01T04:09:59.054Z,166986779905400
"""th3y3ti @ CLMXfwMI0O"" posts a big blind of 200",2022-12-01T04:09:52.575Z,166986779257508
"""Rod @ juakLvqGHM"" posts a small blind of 100",2022-12-01T04:09:52.575Z,166986779257507
"Your hand is 2♠, 4♠, 10♦, 7♦",2022-12-01T04:09:52.575Z,166986779257506
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (2130) | #3 ""Ruthie @ BQ7aBApX8b"" (1535) | #6 ""CStam @ O7yGfPfnlh"" (1350) | #9 ""Rod @ juakLvqGHM"" (1285) | #10 ""th3y3ti @ CLMXfwMI0O"" (700)",2022-12-01T04:09:52.575Z,166986779257501
"-- starting hand #138 (id: vk1vpcfvrihp)  (Pot Limit Omaha Hi) (dealer: ""CStam @ O7yGfPfnlh"") --",2022-12-01T04:09:52.575Z,166986779257500
"""McNeal @ 2VIQ_H6NmI"" shows a 7♣, 3♣, 9♣, 9♦.",2022-12-01T04:09:48.567Z,166986778856700
"Undealt cards:  [5♠, 6♦, 3♦, 9♥, K♣]",2022-12-01T04:09:48.510Z,166986778851000
"-- ending hand #137 --",2022-12-01T04:09:45.941Z,166986778594102
"""McNeal @ 2VIQ_H6NmI"" collected 500 from pot",2022-12-01T04:09:45.941Z,166986778594101
"Uncalled bet of 500 returned to ""McNeal @ 2VIQ_H6NmI""",2022-12-01T04:09:45.941Z,166986778594100
"""Rod @ juakLvqGHM"" folds",2022-12-01T04:09:45.101Z,166986778510100
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:09:34.758Z,166986777475800
"""Ruthie @ BQ7aBApX8b"" folds",2022-12-01T04:09:28.775Z,166986776877500
"""McNeal @ 2VIQ_H6NmI"" raises to 700",2022-12-01T04:09:27.899Z,166986776789900
"""th3y3ti @ CLMXfwMI0O"" folds",2022-12-01T04:09:22.784Z,166986776278400
"""Rod @ juakLvqGHM"" posts a big blind of 200",2022-12-01T04:09:06.442Z,166986774644210
"""CStam @ O7yGfPfnlh"" posts a small blind of 100",2022-12-01T04:09:06.442Z,166986774644209
"Your hand is 4♥, 4♣, 9♠, 8♣",2022-12-01T04:09:06.442Z,166986774644208
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (1830) | #3 ""Ruthie @ BQ7aBApX8b"" (1535) | #6 ""CStam @ O7yGfPfnlh"" (1450) | #9 ""Rod @ juakLvqGHM"" (1485) | #10 ""th3y3ti @ CLMXfwMI0O"" (700)",2022-12-01T04:09:06.442Z,166986774644203
"-- starting hand #137 (id: elt7hl701zr8)  (Pot Limit Omaha Hi) (dealer: ""Ruthie @ BQ7aBApX8b"") --",2022-12-01T04:09:06.442Z,166986774644202
"The game's big blind was changed from 100 to 200.",2022-12-01T04:09:06.442Z,166986774644201
"The game's small blind was changed from 50 to 100.",2022-12-01T04:09:06.442Z,166986774644200
"""th3y3ti @ CLMXfwMI0O"" shows a 2♥, 4♥, 3♣, 4♣.",2022-12-01T04:09:04.271Z,166986774427100
"-- ending hand #136 --",2022-12-01T04:09:02.772Z,166986774277202
"""CStam @ O7yGfPfnlh"" collected 650 from pot",2022-12-01T04:09:02.772Z,166986774277201
"Uncalled bet of 350 returned to ""CStam @ O7yGfPfnlh""",2022-12-01T04:09:02.772Z,166986774277200
"""th3y3ti @ CLMXfwMI0O"" folds",2022-12-01T04:09:01.939Z,166986774193900
"""CStam @ O7yGfPfnlh"" bets 350",2022-12-01T04:08:43.043Z,166986772304300
"River: 10♥, 2♠, 9♥, K♥ [J♦]",2022-12-01T04:08:38.027Z,166986771802700
"""th3y3ti @ CLMXfwMI0O"" calls 100",2022-12-01T04:08:37.190Z,166986771719000
"""CStam @ O7yGfPfnlh"" bets 100",2022-12-01T04:08:35.892Z,166986771589200
"Turn: 10♥, 2♠, 9♥ [K♥]",2022-12-01T04:08:32.816Z,166986771281600
"""th3y3ti @ CLMXfwMI0O"" calls 100",2022-12-01T04:08:31.944Z,166986771194400
"""CStam @ O7yGfPfnlh"" bets 100",2022-12-01T04:08:31.077Z,166986771107700
"Flop:  [10♥, 2♠, 9♥]",2022-12-01T04:08:26.814Z,166986770681400
"""CStam @ O7yGfPfnlh"" checks",2022-12-01T04:08:25.927Z,166986770592700
"""Ruthie @ BQ7aBApX8b"" folds",2022-12-01T04:08:23.077Z,166986770307700
"""McNeal @ 2VIQ_H6NmI"" folds",2022-12-01T04:08:22.175Z,166986770217500
"""th3y3ti @ CLMXfwMI0O"" calls 100",2022-12-01T04:08:21.288Z,166986770128800
"""Rod @ juakLvqGHM"" folds",2022-12-01T04:08:04.053Z,166986768405300
"""CStam @ O7yGfPfnlh"" posts a big blind of 100",2022-12-01T04:07:58.589Z,166986767858909
"""Ruthie @ BQ7aBApX8b"" posts a small blind of 50",2022-12-01T04:07:58.589Z,166986767858908
"Your hand is 2♥, 4♥, 3♣, 4♣",2022-12-01T04:07:58.589Z,166986767858907
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (1830) | #3 ""Ruthie @ BQ7aBApX8b"" (1585) | #6 ""CStam @ O7yGfPfnlh"" (1100) | #9 ""Rod @ juakLvqGHM"" (1485) | #10 ""th3y3ti @ CLMXfwMI0O"" (1000)",2022-12-01T04:07:58.589Z,166986767858902
"-- starting hand #136 (id: mclf9chgr0je)  (Pot Limit Omaha Hi) (dealer: ""McNeal @ 2VIQ_H6NmI"") --",2022-12-01T04:07:58.589Z,166986767858901
"The player ""th3y3ti @ CLMXfwMI0O"" joined the game with a stack of 1000.",2022-12-01T04:07:58.589Z,166986767858900
"-- ending hand #135 --",2022-12-01T04:07:52.661Z,166986767266102
"""Ruthie @ BQ7aBApX8b"" collected 200 from pot",2022-12-01T04:07:52.661Z,166986767266101
"Uncalled bet of 100 returned to ""Ruthie @ BQ7aBApX8b""",2022-12-01T04:07:52.661Z,166986767266100
"""McNeal @ 2VIQ_H6NmI"" folds",2022-12-01T04:07:51.834Z,166986767183400
"""Ruthie @ BQ7aBApX8b"" bets 100",2022-12-01T04:07:43.867Z,166986766386700
"""McNeal @ 2VIQ_H6NmI"" checks",2022-12-01T04:07:41.806Z,166986766180600
"Flop:  [Q♥, K♣, 2♣]",2022-12-01T04:07:39.162Z,166986765916200
"The admin approved the player ""th3y3ti @ CLMXfwMI0O"" participation with a stack of 1000.",2022-12-01T04:07:38.737Z,166986765873700
"""Ruthie @ BQ7aBApX8b"" checks",2022-12-01T04:07:38.308Z,166986765830800
"""McNeal @ 2VIQ_H6NmI"" calls 100",2022-12-01T04:07:35.995Z,166986765599500
"""Rod @ juakLvqGHM"" folds",2022-12-01T04:07:32.977Z,166986765297700
"The player ""th3y3ti @ CLMXfwMI0O"" requested a seat.",2022-12-01T04:07:28.737Z,166986764873700
"""CStam @ O7yGfPfnlh"" folds",2022-12-01T04:07:28.179Z,166986764817900
"""Ruthie @ BQ7aBApX8b"" posts a big blind of 100",2022-12-01T04:07:25.210Z,166986764521007
"""McNeal @ 2VIQ_H6NmI"" posts a small blind of 50",2022-12-01T04:07:25.210Z,166986764521006
"Player stacks: #1 ""McNeal @ 2VIQ_H6NmI"" (1930) | #3 ""Ruthie @ BQ7aBApX8b"" (1485) | #6 ""CStam @ O7yGfPfnlh"" (1100) | #9 ""Rod @ juakLvqGHM"" (1485)",2022-12-01T04:07:25.210Z,166986764521001
